Site_ID,site,Cell_Name,ci,band
GST625,E-GST625MM1-P-TELO,GST625MT1,12,3500
GST625,E-GST625MM1-P-TELO,GST625MT2,22,3500
GST625,E-GST625MM1-P-TELO,GST625MT3,32,3500
GST801,GST801MM1-SIFALAETE,GST801ML1,11,1850
GST801,GST801MM1-SIFALAETE,GST801ML2,21,1850
GST801,GST801MM1-SIFALAETE,GST801ML3,31,1850
GST863,E-GST863MM1-BERUA,GST863ML1,11,1850
GST863,E-GST863MM1-BERUA,GST863ML2,21,1850
GST863,E-GST863MM1-BERUA,GST863ML3,31,1850
GST874,GST874MM1-LAHEMO,GST874ML1,11,1850
GST874,GST874MM1-LAHEMO,GST874ML2,21,1850
GST874,GST874MM1-LAHEMO,GST874ML3,31,1850
GST881,GST881MM1-SOGAEADU,GST881ML1,11,1850
GST881,GST881MM1-SOGAEADU,GST881ML2,21,1850
GST881,GST881MM1-SOGAEADU,GST881ML3,31,1850
JHO007,JHO007MM1-LUTHU-DAYAH-KRUENG,JHO007ML1,11,1850
JHO007,JHO007MM1-LUTHU-DAYAH-KRUENG,JHO007ML2,21,1850
JHO007,JHO007MM1-LUTHU-DAYAH-KRUENG,JHO007ML3,31,1850
JHO058,JHO058MM1-NEUSAK,JHO058MR1,13,500
JHO058,JHO058MM1-NEUSAK,JHO058MR2,23,500
JHO058,JHO058MM1-NEUSAK,JHO058MR3,33,500
JHO059,JHO059MM1-TUANDILAGA,JHO059MR1,13,500
JHO059,JHO059MM1-TUANDILAGA,JHO059MR2,23,500
JHO059,JHO059MM1-TUANDILAGA,JHO059MR3,33,500
JHO094,JHO094MM2-MONTASIK,JHO094MR1,13,500
JHO094,JHO094MM2-MONTASIK,JHO094MR2,23,500
JHO094,JHO094MM2-MONTASIK,JHO094MR3,33,500
JHO234,JHO234MM1-JANTHO3,JHO234ML1,11,1850
JHO234,JHO234MM1-JANTHO3,JHO234ML2,21,1850
JHO234,JHO234MM1-JANTHO3,JHO234ML3,31,1850
JHO288,JHO288MM1-SEUMET,JHO288MR1,13,500
JHO288,JHO288MM1-SEUMET,JHO288MR2,23,500
JHO288,JHO288MM1-SEUMET,JHO288MR3,33,500
JHO302,JHO302MM1-SENEUBOK,JHO302MR1,13,500
JHO302,JHO302MM1-SENEUBOK,JHO302MR3,33,500
